type,title,director,date_added,release_year,rating,duration
Movie,Chance Pe Dance,Ken Ghosh,1-Nov-18,2010,TV-14,121 min
Movie,Chandani: The Daughter of the Elephant Whisperer,Arne Birkenstock,1-Mar-17,2010,TV-G,87 min
Movie,Change in the Air,Dianne Dreyer,1-Mar-20,2018,PG,95 min
Movie,Chaotic Love Poems,Garin Nugroho,5-Jan-19,2016,TV-14,86 min
Movie,Chappaquiddick,John Curran,1-Oct-18,2017,PG-13,106 min
Movie,Chappie,Neill Blomkamp,1-Jan-19,2015,R,121 min
TV Show,Charité,,19-Apr-18,2017,TV-MA,1 Season
TV Show,Charité at War,,15-Jun-19,2019,TV-MA,1 Season
Movie,Charlie and the Chocolate Factory,Tim Burton,1-Jan-20,2005,PG,115 min
Movie,Charlie's Angels,McG,1-Oct-19,2000,PG-13,98 min
Movie,Charlie's Angels: Full Throttle,McG,1-Oct-19,2003,PG-13,106 min
TV Show,Charlie's Colorforms City,,22-Mar-19,2019,TV-Y,1 Season
Movie,Charlotte's Web,"Charles A. Nichols, Iwao Takamoto",23-Nov-19,1973,G,94 min
TV Show,Charmed,,9-May-20,2019,TV-14,2 Seasons
Movie,Charming,Ross Venokur,8-Jan-21,2021,TV-Y7,85 min
Movie,Chashme Baddoor,David Dhawan,5-Jul-20,2013,TV-14,121 min
Movie,Chashme Buddoor,David Dhawan,1-May-17,2013,TV-PG,121 min
Movie,Chasing Amy,Kevin Smith,1-Jan-20,1997,R,113 min
TV Show,Chasing Cameron,,27-Dec-16,2016,TV-14,1 Season
Movie,Chasing Coral,Jeff Orlowski,14-Jul-17,2017,TV-PG,89 min
TV Show,Chasing Monsters,," December 15, 2017",2016,TV-PG,2 Seasons
Movie,Chasing the Dragon,"Wong Jing, Jason Kwan",19-Apr-18,2017,TV-MA,129 min
Movie,Chasing Trane,John Scheinfeld,13-Nov-17,2016,TV-PG,99 min
Movie,Chatô: The King of Brazil,Guilherme Fontes,1-Oct-16,2015,TV-MA,105 min
Movie,Chauthi Koot,Gurvinder Singh,1-Feb-17,2015,TV-14,116 min
TV Show,Cheapest Weddings,,1-Dec-17,2016,TV-14,1 Season
TV Show,Check The Store Next Door: The Next Chapter,,2-Dec-20,2020,TV-14,2 Seasons
TV Show,Cheer,,8-Jan-20,2020,TV-MA,1 Season
TV Show,Cheer Squad,,14-Mar-17,2016,TV-PG,1 Season
TV Show,Cheers,," July 1, 2017",1992,TV-PG,11 Seasons
TV Show,Cheese in the Trap,Lee Yoon-jung,1-Oct-19,2016,TV-14,1 Season
Movie,Chef,Jon Favreau,1-Dec-20,2014,R,115 min
TV Show,Chef & My Fridge,," August 4, 2017",2017,TV-PG,2 Seasons
TV Show,Chef's Table,,22-Feb-19,2019,TV-MA,6 Seasons
TV Show,Chef's Table: BBQ,,2-Sep-20,2020,TV-14,1 Season
TV Show,Chef's Table: France,,2-Sep-16,2016,TV-14,1 Season
TV Show,Chelsea,,14-Apr-17,2017,TV-MA,2 Seasons
TV Show,Chelsea Does,,23-Jan-16,2016,TV-MA,1 Season
Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,10-Oct-14,2014,TV-MA,71 min
Movie,Chelsea Peretti: One of the Greats,Lance Bangs,14-Nov-14,2014,TV-MA,75 min
Movie,Chennai Express,Rohit Shetty,31-Aug-18,2013,TV-14,135 min
Movie,Chernobyl Diaries,Bradley Parker,1-Aug-18,2012,R,88 min
TV Show,Cheuk Wan-Chi: Two Night Stand,,15-Dec-17,2015,TV-MA,1 Season
TV Show,Chewin' the Fat,,1-Oct-16,1999,TV-14,1 Season
TV Show,Chewing Gum,," April 4, 2017",2017,TV-MA,2 Seasons
TV Show,Chhota Bheem,,11-Jul-19,2019,TV-Y,1 Season
Movie,Chhota Bheem and the Curse of Damyaan,Rajiv Chilaka,1-Apr-20,2012,TV-Y7,87 min
Movie,Chhota Bheem Aur Kaala Yodha,"Sidheswar Shukla, Asit Mohapatra",10-May-19,2018,TV-Y7,63 min
Movie,Chhota Bheem Ka Romani Adventure,"Asit Mohapatra, Shyamal Chaulia",10-May-19,2018,TV-Y7,62 min
Movie,Chhota Bheem Ka Troll Se Takkar,"Shyamal Chaulia, Asit Mohapatra",10-May-19,2018,TV-Y7,62 min
TV Show,Chhota Bheem Kung Fu Dhamaka Series,,1-Jan-20,2019,TV-Y7,1 Season
Movie,Chhota Bheem Kungfu Dhamaka,"Rajiv Chilaka, Binayak Das",15-Aug-19,2019,TV-Y7,112 min
TV Show,Chicago Typewriter,,1-Oct-19,2017,TV-14,1 Season
Movie,Chicken Kokkachi,Anuranjan Premji,1-Jul-18,2017,TV-14,113 min
Movie,Chicken Little,Mark Dindal,16-Mar-16,2005,G,82 min
TV Show,Chicken Soup for the Soul's Being Dad,,27-Aug-18,2018,TV-MA,1 Season
Movie,Chico Bon Bon and the Very Berry Holiday,Darragh O'Connell,3-Dec-20,2020,TV-Y,25 min
TV Show,Chico Bon Bon: Monkey with a Tool Belt,,27-Oct-20,2020,TV-Y,4 Seasons
Movie,Chief Daddy,Niyi Akinmolayan,15-Mar-19,2018,TV-MA,98 min
TV Show,Chief of Staff,,12-Nov-19,2019,TV-14,2 Seasons
Movie,Child's Play,Tom Holland,31-Dec-19,1988,R,87 min
TV Show,Children of Adam,,12-Dec-20,2020,TV-14,1 Season
Movie,Children of God,John Smithson,1-Aug-16,1994,TV-MA,63 min
Movie,Children of the Sea,Ayumu Watanabe,1-Sep-20,2019,TV-PG,112 min
TV Show,Children of the Whales,,13-Mar-18,2017,TV-14,1 Season
TV Show,Chill with Bob Ross,,1-Dec-16,1994,TV-G,1 Season
Movie,Chillar Party,"Vikas Bahl, Nitesh Tiwari",2-Aug-18,2011,TV-PG,127 min
TV Show,Chilling Adventures of Sabrina,,31-Dec-20,2020,TV-14,4 Seasons
Movie,China Salesman,Tan Bing,24-Sep-18,2017,TV-MA,111 min
Movie,Chingo Bling: They Can't Deport Us All,Luis Lopez,1-Jun-17,2017,TV-MA,63 min
TV Show,Chip and Potato,,29-Nov-19,2019,TV-Y,2 Seasons
Movie,Chippa,Safdar Rahman,1-Jun-20,2020,TV-14,92 min
Movie,Chittagong,Bedabrata Pain,1-Jan-18,2012,NR,105 min
Movie,Chitty Chitty Bang Bang,Ken Hughes,1-Jan-20,1968,G,146 min
Movie,Chloe,Atom Egoyan,1-Jan-20,2009,R,96 min
TV Show,Chocolate,,30-Nov-19,2019,TV-14,1 Season
Movie,Chocolate City: Vegas Strip,Jean-Claude La Marre,12-Aug-17,2017,TV-MA,90 min
Movie,Choked: Paisa Bolta Hai,Anurag Kashyap,5-Jun-20,2020,TV-14,114 min
Movie,Chopsticks,Sachin Yardi,31-May-19,2019,TV-MA,101 min
TV Show,Chosen,,17-Oct-19,2019,TV-14,2 Seasons
Movie,Chris Brown: Welcome to My Life,Andrew Sandler,7-Oct-17,2017,TV-MA,80 min
Movie,Chris D'Elia: Incorrigible,Bill D'Elia,17-Apr-15,2015,TV-MA,84 min
Movie,Chris D'Elia: Man on Fire,Bill D'Elia,27-Jun-17,2017,TV-MA,66 min
Movie,Chris D'Elia: No Pain,Matt D'Elia,14-Apr-20,2020,TV-MA,55 min
Movie,Chris Rock Total Blackout: The Tamborine Extended Cut,Chris Rock,12-Jan-21,2021,TV-MA,98 min
Movie,Chris Rock: Tamborine,Bo Burnham,14-Feb-18,2018,TV-MA,65 min
Movie,Chris Tucker Live,Phil Joanou,10-Jul-15,2015,TV-MA,92 min
Movie,Christian Mingle,Corbin Bernsen,6-Jun-19,2014,PG,99 min
TV Show,Christiane Amanpour: Sex & Love Around the World,,30-Sep-18,2018,TV-MA,1 Season
Movie,Christina P: Mother Inferior,Jay Karas,10-Oct-17,2017,TV-MA,59 min
Movie,Christine,Antonio Campos,13-Aug-20,2016,R,119 min
Movie,Christmas Break-In,Michael Kampa,1-Nov-20,2019,TV-PG,87 min
Movie,Christmas Crossfire,Detlev Buck,4-Dec-20,2020,TV-MA,106 min
Movie,Christmas Crush,Marita Grabiak,4-Nov-19,2012,TV-PG,87 min
Movie,Christmas in the Heartland,Harvey Lowry,1-Nov-19,2017,TV-PG,112 min
Movie,Christmas in the Smokies,Gary Wheeler,1-Mar-19,2015,TV-G,88 min
Movie,Christmas Inheritance,Ernie Barbarash,15-Dec-17,2017,TV-G,105 min
Movie,Christmas Survival,James Dearden,1-Nov-19,2018,TV-MA,101 min
Movie,Christmas Wedding Planner,Justin G. Dyck,15-Nov-18,2017,PG,86 min
Movie,Christmas with a Prince,Justin G. Dyck,4-Nov-20,2018,TV-PG,86 min
Movie,Christmas With A View,Justin G. Dyck,1-Nov-18,2018,TV-PG,91 min
Movie,Christmas with the Kranks,Joe Roth,1-Jan-19,2004,PG,99 min
Movie,Christopher Robin,Marc Forster,5-Mar-19,2018,PG,104 min
Movie,Chronically Metropolitan,Xavier Manrique,1-Feb-20,2016,TV-MA,86 min
Movie,Chronicle of an Escape,Israel Adrián Caetano,15-Jun-18,2006,R,104 min
TV Show,"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",,18-Oct-19,2019,TV-Y,1 Season
TV Show,ChuChu TV Nursery Rhymes & Kids Songs (Hindi),,18-Apr-20,2019,TV-Y,1 Season
Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (English),,18-Oct-19,2019,TV-Y,47 min
Movie,ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),,18-Oct-19,2019,TV-Y,56 min
Movie,ChuChuTV Surprise Eggs Learning Videos (English),,18-Oct-19,2019,TV-Y,61 min
Movie,ChuChuTV Surprise Eggs Learning Videos (Hindi),,18-Oct-19,2019,TV-Y,34 min
TV Show,Chuck Chicken,,15-Nov-17,2017,TV-Y7,1 Season
Movie,Chup Chup Ke,"Priyadarshan, Kookie V. Gulati",1-Nov-18,2006,TV-PG,158 min
Movie,Chupan Chupai,Mohsin Ali,15-Jan-19,2017,TV-14,118 min
Movie,Chupke Chupke,Hrishikesh Mukherjee,31-Dec-19,1975,TV-PG,127 min
TV Show,Churchill’s Secret Agents: The New Recruits,,29-Jun-18,2018,TV-MA,1 Season
Movie,CIA: Comrade in America,Amal Neerad,1-May-18,2017,TV-14,130 min
Movie,Cinar Agaci,Handan İpekçi,28-Apr-20,2011,TV-14,115 min
TV Show,Cinderella and the Four Knights,,15-Dec-19,2016,TV-PG,1 Season
TV Show,Cinta 100KG,,8-May-19,2016,TV-14,1 Season
TV Show,Cinta Iris,,8-May-19,2015,TV-PG,1 Season
TV Show,Cinta Si Wedding Planner,,8-May-19,2015,TV-14,1 Season
TV Show,Cinta Teruna Kimchi,,8-May-19,2016,TV-PG,1 Season
Movie,Circle,"Aaron Hann, Mario Miscione",16-Oct-15,2015,TV-MA,86 min
Movie,Circus of Books,Rachel Mason,22-Apr-20,2020,TV-MA,87 min
Movie,Cirque du Freak: The Vampire's Assistant,Paul Weitz,16-Apr-18,2009,PG-13,109 min
Movie,Citation,Kunle Afolayan,6-Nov-20,2020,TV-MA,151 min
Movie,Cities of Last Things,Wi Ding Ho,12-Jul-19,2018,TV-MA,106 min
TV Show,City in the Sky,,1-Oct-17,2016,TV-PG,1 Season
Movie,City of God,"Fernando Meirelles, Katia Lund",1-Jan-20,2002,R,130 min
Movie,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",7-May-18,2013,TV-MA,69 min
Movie,City of Joy,Madeleine Gavin,7-Sep-18,2018,TV-MA,77 min
Movie,City of Tiny Lights,Pete Travis,21-Jul-17,2016,TV-MA,110 min
TV Show,Civilizations,,1-Oct-18,2018,TV-14,1 Season
Movie,Clair Obscur,Yesim Ustaoglu,13-Oct-17,2016,TV-MA,102 min
TV Show,CLANNAD,,1-Nov-19,2008,TV-PG,2 Seasons
Movie,Clarence Clemons: Who Do I Think I Am?,Nick Mead,14-Nov-19,2019,TV-MA,88 min
Movie,Clash of the Titans,Louis Leterrier,1-Aug-19,2010,PG-13,106 min
Movie,Class of '61,Gregory Hoblit,1-Apr-18,1993,TV-PG,91 min
Movie,Class of '83,Atul Sabharwal,21-Aug-20,2020,TV-14,98 min
Movie,Class Rank,Eric Stoltz,18-Sep-18,2018,TV-MA,103 min
TV Show,Classic Legends,,15-May-17,2012,TV-PG,1 Season
TV Show,Cleo & Cuquin,Fernando Moro,1-Jul-20,2020,TV-Y,2 Seasons
Movie,Cleopatra Jones,Jack Starrett,1-Nov-19,1973,PG,89 min
TV Show,Cleverman,,5-Sep-20,2017,TV-MA,1 Season
Movie,Click,Frank Coraci,1-Jan-20,2006,PG-13,108 min
TV Show,Click for Murder,,17-Sep-17,2017,TV-14,1 Season
Movie,Clinical,Alistair Legrand,13-Jan-17,2017,TV-MA,104 min
Movie,Clive Davis: The Soundtrack of Our Lives,Chris Perkel,17-Sep-19,2017,TV-MA,124 min
Movie,Close,,18-Jan-19,2019,TV-MA,95 min
Movie,Close Enemies,David Oelhoffen,29-Jan-20,2018,TV-MA,112 min
TV Show,Close Your Eyes Before It’s Dark,,1-Aug-17,2016,TV-14,1 Season
Movie,Closed Circuit,John Crowley,16-Oct-17,2013,R,96 min
Movie,Cloud Atlas,"Lilly Wachowski, Lana Wachowski, Tom Tykwer",1-Aug-17,2012,R,172 min
Movie,Clouds of Sils Maria,Olivier Assayas,12-Feb-17,2014,R,124 min
Movie,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller",1-Jan-21,2009,PG,90 min
Movie,Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn",15-Nov-20,2013,PG,95 min
Movie,Cloverfield,Matt Reeves,1-Jan-20,2008,PG-13,85 min
Movie,"Club de Cuervos Presents: I, Potro",Marcos Bucay,19-Oct-18,2018,TV-MA,51 min
TV Show,Club de Cuervos Presents: The Ballad of Hugo Sánchez,,18-Jun-18,2018,TV-MA,1 Season
TV Show,Club Friday The Series 6,,9-Mar-19,2015,TV-MA,9 Seasons
TV Show,Club Friday The Series 7,,18-Jun-18,2016,TV-MA,7 Seasons
TV Show,Club Friday The Series 8,,2-Feb-19,2017,TV-MA,8 Seasons
TV Show,Club Friday To Be Continued - Friend & Enemy,,20-Apr-18,2016,TV-MA,1 Season
TV Show,Club Friday To Be Continued - My Beautiful Tomboy,,13-Apr-18,2016,TV-MA,1 Season
TV Show,Club Friday To Be Continued - The Promise,,20-Apr-18,2016,TV-MA,1 Season
TV Show,Club of Crows,,25-Jan-19,2019,TV-MA,4 Seasons
Movie,Coach Carter,Thomas Carter,1-Jan-20,2005,PG-13,137 min
TV Show,Coach Snoop,,2-Feb-18,2018,TV-MA,1 Season
TV Show,Cobra Kai,,1-Jan-21,2021,TV-14,3 Seasons
TV Show,Cocaine,,1-Aug-16,2005,TV-14,1 Season
TV Show,Cocaine Coast,,3-Aug-18,2018,TV-MA,1 Season
Movie,Coco y Raulito: Carrusel de ternura,"Raúl Campos, Jan Suter",27-Jul-18,2018,TV-MA,57 min
TV Show,Cocomelon,,18-Dec-20,2020,TV-Y,2 Seasons
TV Show,Cocomong,,15-Dec-19,2015,TV-Y,2 Seasons
Movie,Code 8,Jeff Chan,11-Apr-20,2019,TV-MA,98 min
TV Show,Code Geass: Lelouch of the Rebellion,,1-May-19,2008,TV-MA,2 Seasons
TV Show,Code Lyoko,,1-Oct-20,2007,TV-Y7,4 Seasons
Movie,Code Name: The Cleaner,Les Mayfield,1-Nov-19,2007,PG-13,91 min
Movie,Coffee & Kareem,Michael Dowse,3-Apr-20,2020,TV-MA,88 min
Movie,Coffee for All,"Fluvio Iannuci, Roly Santos",1-May-18,2017,TV-PG,69 min
Movie,Coffee with D,Vishal Mishra,1-Nov-17,2017,TV-PG,120 min
Movie,Coin Heist,Emily Hagins,6-Jan-17,2017,TV-14,98 min
TV Show,Cold Case Files,,15-Sep-19,2017,TV-14,1 Season
TV Show,Cold Case Files Classic,,15-Sep-20,1999,TV-MA,1 Season
Movie,Cold Feet,Moses Inwang,15-Jul-20,2019,TV-14,98 min
Movie,Cold Harbour,Carey McKenzie,1-Oct-20,2013,TV-MA,73 min
Movie,Colin Quinn: Red State Blue State,Robert Moresco,9-Aug-19,2019,TV-14,66 min
Movie,Colin Quinn: The New York Story,Jerry Seinfeld,18-Nov-16,2016,TV-MA,62 min
Movie,Colin Quinn: Unconstitutional,Jay Chapman,15-Aug-17,2015,TV-MA,56 min
Movie,Colkatay Columbus,Saurav Palodhi,30-Mar-17,2016,TV-14,118 min
TV Show,Collateral,,9-Mar-18,2018,TV-MA,1 Season
TV Show,College Romance,,1-Oct-19,2018,TV-MA,1 Season
Movie,Colonia,Florian Gallenberger,14-Jul-18,2015,R,110 min
TV Show,Colony,,2-May-19,2018,TV-14,3 Seasons
TV Show,Color of Woman,,15-Dec-16,2012,TV-PG,1 Season
Movie,Colours of Passion,Ketan Mehta,25-May-18,2008,TV-14,114 min
Movie,Come and Find Me,Zack Whedon,18-Sep-19,2016,R,112 min
Movie,Come Sunday,Joshua Marston,13-Apr-18,2018,TV-14,105 min
TV Show,Comedians in Cars Getting Coffee,Jerry Seinfeld,19-Jul-19,2019,TV-14,6 Seasons
TV Show,COMEDIANS of the world,,1-Jan-19,2019,TV-MA,13 Seasons
TV Show,Comedy Bang! Bang!,," December 28, 2016",2016,TV-14,5 Seasons
TV Show,Comedy High School,,1-Jul-18,2018,TV-14,1 Season
Movie,Command and Control,Robert Kenner,15-May-17,2017,TV-PG,92 min
TV Show,Community,,1-Apr-20,2015,TV-14,6 Seasons
Movie,Como caído del cielo,Pepe Bojórquez,24-Dec-19,2019,TV-14,117 min
Movie,Company,Ram Gopal Varma,1-Mar-18,2002,TV-MA,137 min
Movie,Compulsion,Craig Goodwill,4-Oct-18,2016,TV-MA,84 min
TV Show,Conan Without Borders,,31-Dec-18,2018,TV-14,1 Season
Movie,Concrete Football,"Jesse Adang, Syrine Boulanouar",1-Sep-17,2016,TV-MA,52 min
Movie,Concussion,Stacie Passon,2-Aug-18,2013,R,96 min
Movie,Conjuring Spirit,Van M. Pham,28-Aug-18,2014,TV-MA,112 min
TV Show,Connected,,2-Aug-20,2020,TV-14,1 Season
Movie,Conor McGregor: Notorious,Gavin Fitzgerald,21-Mar-18,2017,R,90 min
Movie,Consequences,Ozan Açıktan,25-Oct-19,2014,TV-MA,106 min
Movie,Consequences ,Ozan Açıktan,25-Oct-19,2014,TV-MA,106 min
TV Show,Conspiracy,,1-Sep-16,2015,TV-14,1 Season
TV Show,Containment,,21-Oct-16,2016,TV-MA,1 Season
Movie,Contract,Ram Gopal Varma,2-Mar-19,2008,TV-14,116 min
TV Show,Control Z,,22-May-20,2020,TV-MA,1 Season
TV Show,Conversations with a Killer: The Ted Bundy Tapes,,24-Jan-19,2019,TV-MA,1 Season
Movie,Convict,Abdul Aziz Hashad,13-Jun-19,2014,TV-14,97 min
Movie,Cook Off,Tomas Brickhill,1-Jun-20,2017,TV-G,100 min
TV Show,Cooked,,19-Feb-16,2016,TV-14,1 Season
TV Show,Cooked with Cannabis,,20-Apr-20,2020,TV-MA,1 Season
TV Show,Cooking on High,,22-Jun-18,2018,TV-MA,1 Season
Movie,Cool Hand Luke,Stuart Rosenberg,1-Jan-21,1967,TV-14,127 min
Movie,Cop and a Half: New Recruit,Jon Rosenbaum,17-Aug-17,2017,PG,96 min
Movie,Cop Car,Jon Watts,16-Jun-19,2015,R,88 min
Movie,Cop Watchers,Ben Steele,1-Aug-17,2016,TV-MA,45 min
Movie,Cops and Robbers,"Arnon Manor, Timothy Ware-Hill",28-Dec-20,2020,PG-13,8 min
Movie,Coraline,Henry Selick,16-Mar-17,2009,PG,101 min
TV Show,"Coronavirus, Explained",,26-Apr-20,2020,TV-PG,1 Season
Movie,Cosmos Laundromat: First Cycle,Mathieu Auvray,4-Jun-19,2015,TV-MA,12 min
Movie,Countdown to Death: Pablo Escobar,"Santiago Diaz, Pablo Martin Farina",22-Jan-18,2017,TV-MA,69 min
Movie,Counterfeiting in Suburbia,Jason Bourque,1-Jul-18,2018,TV-14,88 min
Movie,Counterpunch,Jay Bulger,16-Jun-17,2017,TV-MA,91 min
TV Show,Country Ever After,,6-Nov-20,2020,TV-PG,1 Season
Movie,Couple of Days,Tolu Awobiyi,26-Feb-20,2016,TV-14,103 min
Movie,Couples Counseling,Alexandre Reinecke,1-Apr-17,2016,TV-MA,88 min
TV Show,Court Justice,,2-Oct-19,2017,TV-MA,1 Season
Movie,Covered: Alive in Asia,"Micah Bickham, Galley Molina",31-Mar-16,2016,TV-G,75 min
Movie,Cowspiracy: The Sustainability Secret,"Kip Andersen, Keegan Kuhn",15-Sep-15,2014,TV-PG,90 min
Movie,"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,11-Jan-21,2021,TV-MA,90 min
Movie,Cracked Up: The Darrell Hammond Story,Michelle Esrick,1-May-20,2018,TV-MA,97 min
Movie,Craig Ferguson: Tickle Fight,Jay Chapman,5-Dec-17,2017,TV-MA,67 min
Movie,Crash,Paul Haggis,1-Oct-19,2004,R,112 min
TV Show,Crash Landing on You,,15-Dec-19,2019,TV-14,1 Season
TV Show,Crashing,,2-Jun-17,2016,TV-MA,1 Season
Movie,Crazy Awesome Teachers,Sammaria Sari Simanjuntak,17-Aug-20,2020,TV-PG,102 min
Movie,Crazy Beautiful You,Mae Czarina Cruz,6-Aug-19,2015,TV-14,114 min
TV Show,Crazy Delicious,,24-Jun-20,2020,TV-PG,1 Season
TV Show,Crazy Ex-Girlfriend,,13-Apr-19,2019,TV-MA,4 Seasons
Movie,Crazy people,Moses Inwang,29-Nov-19,2018,TV-MA,107 min
TV Show,"Crazy, Lovely, Cool",Obi Emelonye,15-Dec-19,2018,TV-MA,1 Season
TV Show,Crazyhead,,16-Dec-16,2016,TV-MA,1 Season
Movie,CRD,Kranti Kanade,29-Apr-19,2016,TV-MA,110 min
Movie,Creating The Queen's Gambit,,8-Jan-21,2021,TV-14,14 min
TV Show,Creators,,1-Nov-18,2015,TV-Y,2 Seasons
Movie,Creep,Patrick Brice,14-Jul-15,2014,R,78 min
Movie,Creep 2,Patrick Brice,23-Dec-17,2017,TV-MA,80 min
TV Show,Creeped Out,,4-Oct-19,2019,TV-PG,2 Seasons
TV Show,Cricket Fever: Mumbai Indians,,1-Mar-19,2019,TV-MA,1 Season
TV Show,Crime Diaries: Night Out,Felipe Cano,3-May-19,2019,TV-MA,1 Season
TV Show,Crime Diaries: The Candidate,,22-Mar-19,2019,TV-MA,1 Season
TV Show,Crime Time,,31-Jan-19,2017,TV-MA,1 Season
TV Show,Criminal Minds,,30-Jun-17,2017,TV-14,12 Seasons
TV Show,Criminal: France,,20-Sep-19,2019,TV-MA,1 Season
TV Show,Criminal: Germany,,20-Sep-19,2019,TV-MA,1 Season
TV Show,Criminal: Spain,Mariano Barroso,20-Sep-19,2019,TV-MA,1 Season
TV Show,Criminal: UK,,16-Sep-20,2020,TV-MA,2 Seasons
Movie,Crip Camp: A Disability Revolution,,25-Mar-20,2020,R,108 min
Movie,Cristela Alonzo: Lower Classy,Marcus Raboy,24-Jan-17,2017,TV-MA,67 min
Movie,Cristina,Michèle Ohayon,4-Jul-19,2016,TV-14,40 min
Movie,Crossroads: One Two Jaga,Nam Ron,1-Dec-18,2018,TV-14,81 min
Movie,"Crouching Tiger, Hidden Dragon",Ang Lee,1-Mar-19,2000,PG-13,120 min
Movie,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Yuen Wo-Ping,26-Feb-16,2016,PG-13,101 min
Movie,Cuba and the Cameraman,Jon Alpert,24-Nov-17,2017,TV-14,114 min
TV Show,Cuckoo,,19-Apr-19,2019,TV-MA,5 Seasons
Movie,Cuddle Weather,Rod Cabatana Marmol,14-Feb-20,2019,TV-MA,95 min
Movie,Cult of Chucky,Don Mancini,3-Oct-17,2017,R,90 min
Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Mana Yasuda,28-Sep-19,2019,TV-PG,45 min
TV Show,Cupcake & Dino - General Services,,3-May-19,2019,TV-Y7,2 Seasons
TV Show,Curon,,10-Jun-20,2020,TV-MA,1 Season
TV Show,Cursed,,17-Jul-20,2020,TV-MA,1 Season
Movie,Curtiz,Tamas Yvan Topolanszky,25-Mar-20,2018,TV-MA,99 min
Movie,Cut Bank,Matt Shakman,1-Dec-19,2014,R,93 min
Movie,Cutie and the Boxer,Zachary Heinzerling,14-Jun-18,2013,R,82 min
Movie,Cuties,Maïmouna Doucouré,9-Sep-20,2020,TV-MA,96 min
TV Show,Cyborg 009 VS Devilman,,1-Apr-16,2015,TV-MA,1 Season
TV Show,Cyborg 009: Call of Justice,,10-Feb-17,2017,TV-14,1 Season
Movie,Cycle,Prakash Kunte,10-Sep-20,2018,TV-PG,96 min
Movie,D.L. Hughley: Clear,Jay Chapman,13-Jul-17,2014,TV-MA,59 min
Movie,D.L. Hughley: Contrarian,Jay Chapman,21-Jul-19,2018,TV-MA,58 min
TV Show,Déjà Vu,,2-Jan-19,2013,TV-14,1 Season
TV Show,Dérè: An African Tale,,15-Aug-20,2016,TV-PG,1 Season
Movie,Düğün Dernek,"Selçuk Aydemir, Birkan Pusa",10-Mar-17,2013,TV-PG,102 min
Movie,Dügün Dernek 2: Sünnet,Selçuk Aydemir,10-Mar-17,2015,TV-MA,107 min
Movie,Da 5 Bloods,Spike Lee,12-Jun-20,2020,R,156 min
Movie,Da Kath & Kim Code,Ted Emery,28-Jul-18,2005,TV-PG,82 min
Movie,Daagdi Chaawl,Chandrakant Kanse,15-Feb-18,2015,TV-14,118 min
Movie,Dabbe 5: Zehr-i Cin,Hasan Karacadağ,12-Apr-19,2014,TV-MA,133 min
Movie,Dabbe 6: The Return,Hasan Karacadağ,17-Apr-19,2015,TV-MA,153 min
Movie,Dabbe: The Possession,Hasan Karacadağ,12-Apr-19,2013,TV-MA,135 min
Movie,Dad,Gary David Goldberg,1-Apr-18,1989,PG,117 min
Movie,Dad Wanted,Javier Colinas,11-Sep-20,2020,TV-14,103 min
TV Show,Dad's Army,," March 31, 2018",1977,TV-PG,10 Seasons
Movie,Daddy Day Care,Steve Carr,1-Jan-19,2003,PG,93 min
Movie,Daddy Issues,Amara Cash,20-Sep-19,2019,TV-MA,82 min
Movie,Daemonium,Pablo Parés,20-Dec-16,2015,NR,115 min
Movie,Daffedar,Johnson Esthappan,1-Jul-18,2017,TV-14,151 min
Movie,Dagh Ujala,Raj Amit Kumar,1-Apr-18,2015,TV-MA,103 min
Movie,Dallas Buyers Club,Jean-Marc Vallée,16-Jan-18,2013,R,117 min
TV Show,Damnation,,7-Nov-18,2017,TV-MA,1 Season
Movie,"Dana Carvey: Straight White Male, 60",Marcus Raboy,4-Nov-16,2016,TV-MA,64 min
TV Show,Dance & Sing with True,,18-May-18,2018,TV-Y,1 Season
TV Show,Dance Academy,,20-Dec-17,2013,TV-PG,1 Season
Movie,Dance Academy: The Comeback,Jeffrey Walker,2-Jul-18,2017,TV-PG,100 min
Movie,Dance Dreams: Hot Chocolate Nutcracker,Oliver Bokelberg,27-Nov-20,2020,TV-G,81 min
TV Show,Dancing Angels,,27-Apr-18,2016,TV-PG,1 Season
TV Show,Dancing Queen,,5-Oct-18,2018,TV-14,1 Season
Movie,Dancing Quietly,Philipp Eichholtz,1-Apr-17,2016,TV-MA,70 min
Movie,Dancing with the Birds,Huw Cordey,23-Oct-19,2019,TV-PG,52 min
TV Show,Dandy,,31-Mar-18,2016,TV-MA,1 Season
Movie,Dangal,Nitesh Tiwari,21-Jun-17,2016,TV-PG,161 min
TV Show,Danger Mouse,,9-Nov-16,2016,TV-Y7,2 Seasons
TV Show,Danger Mouse: Classic Collection,,15-Jun-15,1992,TV-Y,10 Seasons
Movie,Dangerous Lies,Michael M. Scott,30-Apr-20,2020,TV-14,97 min
